id,name,current_price,price_change_24h,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
coredaoorg,Core,0.485474,-0.037534473326540085,-7.17665,0.524513,0.479211,6.14,0.334237,01-08-25_14-13-00
sweth,Swell Ethereum,4025.15,-156.95689932010146,-3.75306,4186.86,3949.0,4395.57,1516.13,01-08-25_14-13-00
apenft,APENFT,4.75123e-07,-4.38160581e-09,-0.91378,4.87952e-07,4.70884e-07,7.53e-06,2.98737e-07,01-08-25_14-13-00
thorchain,THORChain,1.32,-0.06397347791597663,-4.63449,1.39,1.29,20.87,0.00851264,01-08-25_14-13-00
zebec-network,Zebec Network,0.0053032,-0.000338777496642519,-6.00458,0.00564198,0.00498782,0.00700261,0.00069854,01-08-25_14-13-00
telcoin,Telcoin,0.0049261,-0.000310818326684092,-5.93514,0.00526412,0.00485382,0.064483,6.474e-05,01-08-25_14-13-00
apecoin,ApeCoin,0.566894,-0.027767933206120365,-4.66953,0.599752,0.555364,26.7,0.354833,01-08-25_14-13-00
reserve-rights-token,Reserve Rights,0.00759774,-0.000567407029252117,-6.94913,0.00816515,0.00744403,0.117424,0.00121354,01-08-25_14-13-00
savings-dai,Savings Dai,1.16,-0.000307111155082085,-0.0264,1.16,1.16,1.27,0.186576,01-08-25_14-13-00
starknet,Starknet,0.11541,-0.007570284777539599,-6.1557,0.124838,0.112093,4.41,0.097027,01-08-25_14-13-00
arweave,Arweave,6.72,-0.5328011280106857,-7.35007,7.33,6.57,89.24,0.298788,01-08-25_14-13-00
frax-ether,Frax Ether,3648.48,-167.96553188822372,-4.4011,3816.85,3598.18,4084.25,1137.25,01-08-25_14-13-00
ether-fi,Ether.fi,1.026,-0.10781095274668906,-9.50748,1.15,1.008,8.53,0.40432,01-08-25_14-13-00
polygon-pos-bridged-weth-polygon-pos,Polygon PoS Bridged WETH (Polygon POS),3669.65,-154.56106985693032,-4.04165,3824.21,3595.7,4090.99,1390.73,01-08-25_14-13-00
dydx-chain,dYdX,0.557604,-0.031712862315588786,-5.38129,0.591037,0.546479,4.52,0.418236,01-08-25_14-13-00
superstate-short-duration-us-government-securities-fund-ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),10.77,0.001278,0.01187,10.77,10.77,10.77,10.29,01-08-25_14-13-00
keeta,Keeta,1.034,-0.11873563868823167,-10.30313,1.15,0.945105,1.68,0.0068199,01-08-25_14-13-00
tokenize-xchange,Tokenize Xchange,5.19,0.284697,5.79921,5.36,2.67,50.43,0.111255,01-08-25_14-13-00
kava,Kava,0.386531,-0.001063663009080673,-0.27443,0.391802,0.378954,9.12,0.247359,01-08-25_14-13-00
neo,NEO,5.9,-0.41794452930325576,-6.61095,6.4,5.81,198.38,0.078349,01-08-25_14-13-00
compound-governance-token,Compound,44.29,-2.634925007897742,-5.61551,47.35,43.74,910.54,25.74,01-08-25_14-13-00
mantle-bridged-usdt-mantle,Mantle Bridged USDT (Mantle),0.999146,0.00086095,0.08624,1.005,0.993393,1.26,0.869914,01-08-25_14-13-00
aioz-network,AIOZ Network,0.347833,-0.025844984387366654,-6.91638,0.379005,0.338748,2.65,0.01099588,01-08-25_14-13-00
sun-token,Sun Token,0.02151157,-0.00014928908816771,-0.68921,0.0217267,0.02086302,66.45,0.00462303,01-08-25_14-13-00
hashnote-usyc,Circle USYC,1.095,-9.9518029781587e-05,-0.00909,1.095,1.094,1.12,1.026,01-08-25_14-13-00
dexe,DeXe,7.19,-0.32056561818872,-4.26666,7.51,7.14,32.38,0.671563,01-08-25_14-13-00
trip,Trip,13.89,-0.06107995082061102,-0.43772,14.14,13.64,14.29,4.92,01-08-25_14-13-00
usdb,USDB,1.0,0.01332419,1.35026,1.012,0.983544,1.088,0.882623,01-08-25_14-13-00
ecash,eCash,2.042e-05,-1.067538140545e-06,-4.9673,2.17e-05,2.019e-05,0.00038001,1.604e-05,01-08-25_14-13-00
elrond-erd-2,MultiversX,14.16,-0.8164383373732029,-5.45046,15.05,13.91,545.64,6.51,01-08-25_14-13-00
rekt-4,Rekt,9.54549e-07,-1.44288320827e-07,-13.131,1.1e-06,8.59036e-07,1.19e-06,3.1106e-08,01-08-25_14-13-00
