id,name,current_price,price_change_24h,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,3847.69,-154.5998238446523,-3.86278,4007.22,3784.71,4216.2,1459.69,01-08-25_14-13-00
jupiter-perpetuals-liquidity-provider-token,Jupiter Perpetuals Liquidity Provider Token,4.94,-0.09346023653459667,-1.85558,5.04,4.91,5.26,0.146839,01-08-25_14-13-00
filecoin,Filecoin,2.36,-0.12500446721127734,-5.02995,2.51,2.32,236.84,1.98,01-08-25_14-13-00
lombard-staked-btc,Lombard Staked BTC,115498.0,-2638.6295741925715,-2.23353,118709.0,114201.0,123777.0,52119.0,01-08-25_14-13-00
xdce-crowd-sale,XDC Network,0.098332,2.014e-05,0.02049,0.098849,0.097169,0.192754,0.00039532,01-08-25_14-13-00
spx6900,SPX6900,1.62,-0.22541864984154736,-12.18677,1.86,1.6,2.27,0.00131808,01-08-25_14-13-00
jupiter-exchange-solana,Jupiter,0.476939,-0.038951573530787154,-7.55035,0.519633,0.466942,2.0,0.306358,01-08-25_14-13-00
usdtb,USDtb,1.0,0.00045917,0.04593,1.0,0.999451,1.018,0.900502,01-08-25_14-13-00
stakewise-v3-oseth,StakeWise Staked ETH,3887.18,-127.09918298577259,-3.16618,4016.1,3794.27,4228.59,1459.73,01-08-25_14-13-00
kucoin-shares,KuCoin,10.86,-0.5593283011674686,-4.89994,11.42,10.85,28.83,0.342863,01-08-25_14-13-00
usdt0,USDT0,0.999738,-9.0384311438596e-05,-0.00904,1.001,0.997955,1.052,0.975737,01-08-25_14-13-00
liquid-staked-ethereum,Liquid Staked ETH,3965.19,-152.47331249823765,-3.70291,4123.92,3895.63,4332.67,1384.61,01-08-25_14-13-00
mantle-staked-ether,Mantle Staked Ether,3932.59,-155.58222034825258,-3.80567,4092.69,3860.21,4729.53,1485.62,01-08-25_14-13-00
nexo,NEXO,1.31,-0.004887911698635339,-0.37141,1.33,1.29,4.07,0.04515276,01-08-25_14-13-00
hash-2,Provenance Blockchain,0.02712013,-0.000536746292691893,-1.94073,0.02794481,0.02514398,0.058737,0.01378736,01-08-25_14-13-00
first-digital-usd,First Digital USD,0.998277,-0.000503268858415451,-0.05039,1.003,0.991604,1.15,0.940377,01-08-25_14-13-00
curve-dao-token,Curve DAO,0.92553,-0.09036022106295505,-8.89469,1.017,0.914757,15.37,0.180354,01-08-25_14-13-00
injective-protocol,Injective,13.09,-0.9984031027479912,-7.08673,14.25,12.78,52.62,0.657401,01-08-25_14-13-00
blockstack,Stacks,0.702904,-0.04828960726102993,-6.42838,0.756966,0.688237,3.86,0.04559639,01-08-25_14-13-00
polygon-bridged-usdt-polygon,Polygon Bridged USDT (Polygon),0.999576,-9.057953049596e-05,-0.00906,0.999938,0.999419,1.027,0.945933,01-08-25_14-13-00
celestia,Celestia,1.66,-0.1300343485442994,-7.24952,1.81,1.63,20.85,1.32,01-08-25_14-13-00
renzo-restaked-eth,Renzo Restaked ETH,3865.44,-160.26015262441388,-3.98093,4025.7,3795.5,4207.05,1454.43,01-08-25_14-13-00
falcon-finance,Falcon USD,0.99945,1.531e-05,0.00153,0.999872,0.999068,1.075,0.943422,01-08-25_14-13-00
optimism,Optimism,0.660829,-0.04094152262316153,-5.83403,0.708532,0.64563,4.84,0.402159,01-08-25_14-13-00
solv-btc,Solv Protocol BTC,115167.0,-2710.74576588528,-2.29962,118823.0,114216.0,122909.0,49058.0,01-08-25_14-13-00
conflux-token,Conflux,0.208307,-0.001396493273199656,-0.66594,0.22162,0.205726,1.7,0.02199898,01-08-25_14-13-00
floki,FLOKI,0.00010829,-6.000611167877e-06,-5.25032,0.00011825,0.00010617,0.00034495,8.428e-08,01-08-25_14-13-00
wbnb,Wrapped BNB,774.08,-21.121783839726163,-2.65615,811.44,765.18,858.29,23.6,01-08-25_14-13-00
paypal-usd,PayPal USD,0.999525,0.0004785,0.0479,1.001,0.998937,1.021,0.959426,01-08-25_14-13-00
jupiter-staked-sol,Jupiter Staked SOL,190.99,-10.472309659784742,-5.19817,202.26,188.44,309.67,105.7,01-08-25_14-13-00
saros-finance,Saros,0.381034,0.017197,4.72657,0.38715,0.358661,0.405788,0.00101093,01-08-25_14-13-00
binance-bridged-usdc-bnb-smart-chain,Binance Bridged USDC (BNB Smart Chain),0.999677,-0.000364075065349745,-0.03641,1.006,0.994255,1.031,0.942892,01-08-25_14-13-00
sonic-3,Sonic,0.309536,-0.02847310041715323,-8.42377,0.338009,0.297162,1.029,0.250194,01-08-25_14-13-00
pump-fun,Pump.fun,0.00284741,-0.000297371657850944,-9.45605,0.00314478,0.00250338,0.00681162,0.00228323,01-08-25_14-13-00
fartcoin,Fartcoin,0.981987,-0.051185660720104,-4.95422,1.066,0.956672,2.48,0.02002855,01-08-25_14-13-00
the-graph,The Graph,0.092577,-0.00682970976996751,-6.87046,0.099766,0.091066,2.84,0.052051,01-08-25_14-13-00
immutable-x,Immutable,0.505474,-0.04288737931130493,-7.82101,0.549701,0.498257,9.52,0.343711,01-08-25_14-13-00
pax-gold,PAX Gold,3343.25,28.73,0.86665,3343.24,3290.37,3518.57,1399.64,01-08-25_14-13-00
arbitrum-bridged-wbtc-arbitrum-one,Arbitrum Bridged WBTC (Arbitrum One),115747.0,-2536.173457421697,-2.14416,118593.0,114395.0,122778.0,49594.0,01-08-25_14-13-00
pancakeswap-token,PancakeSwap,2.65,-0.17646134455775675,-6.24837,2.87,2.61,43.96,0.194441,01-08-25_14-13-00
dogwifcoin,dogwifhat,0.906458,-0.06431460171015191,-6.6251,0.979526,0.884044,4.83,0.00155464,01-08-25_14-13-00
clbtc,clBTC,115910.0,1146.02,0.99859,116393.0,113733.0,129190.0,51493.0,01-08-25_14-13-00
syrupusdc,SyrupUSDC,1.11,0.0002065,0.01853,1.12,1.055,1.12,1.055,01-08-25_14-13-00
msol,Marinade Staked SOL,222.14,-12.135759146653271,-5.18012,235.4,219.3,363.77,8.93,01-08-25_14-13-00
ethereum-name-service,Ethereum Name Service,26.02,-1.8241264464222802,-6.55026,27.92,25.66,83.4,6.69,01-08-25_14-13-00
kaia,Kaia,0.147229,-0.009621701285226325,-6.13432,0.157603,0.142597,0.406698,0.090737,01-08-25_14-13-00
lido-dao,Lido DAO,0.93674,-0.07169562207940317,-7.10959,1.016,0.919216,7.3,0.40615,01-08-25_14-13-00
tether-gold,Tether Gold,3355.03,38.24,1.15289,3338.2,3278.15,3530.16,1447.84,01-08-25_14-13-00
tezos,Tezos,0.774984,-0.04063540829143397,-4.98215,0.821781,0.75914,9.12,0.350476,01-08-25_14-13-00
virtual-protocol,Virtuals Protocol,1.23,-0.11115615010427882,-8.31233,1.35,1.2,5.07,0.00748604,01-08-25_14-13-00
